장소명,주소,lat,lon
삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,33.52555904,126.584327
산지천갤러리와산짓물공원,제주특별자치도 제주시 건입동 1359-2,33.51544702,126.528452
산굼부리,제주특별자치도 제주시 조천읍 교래리 343-3,33.434908,126.687546
사려나무숲길-무장애나눔길,제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.39548598,126.684925
사려나무숲길-2(붉은오름방향),제주특별자치도 서귀포시 표선면 가시리 산 158,33.3949658,126.6841367
사려나무숲길-1(철물휴양림방향),제주특별자치도 서귀포시 표선면 가시리 산 158-4,33.39555999,126.68487
빛의벙커,제주특별자치도 서귀포시 성산읍 수산리 4764,33.44412197,126.893673
비자림,제주특별자치도 제주시 구좌읍 평대리 3161-1,33.49148702,126.811133
비양도,제주특별자치도 제주시 한림읍 대림리 2019-17,33.41898867,126.2623923
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 가시리 산 158,33.40324804,126.67843
북촌마을해안길,,33.55121797,126.69361
보목포로(볼레낭개길),,33.23955098,126.608048
보름왓,제주특별자치도 서귀포시 표선면 성읍리 3229-45,33.41327297,126.752297
법환포구,제주특별자치도 서귀포시 법환동 286-3,33.23714303,126.515571
별빛누리공원,제주특별자치도 제주시 오등동 10-34,33.44466914,126.5491299
박물관은 살아있다,제주특별자치도 서귀포시 색달동 2629,33.25473371,126.4094495
민속자연사박물관,제주특별자치도 제주시 일도이동 923,33.50612056,126.5305394
무민랜드,제주특별자치도 서귀포시 안덕면 상천리 470-6,33.30629599,126.38176
마라도,제주특별자치도 서귀포시 대정읍 상모리 130-1,33.20739213,126.2906639
러브랜드,제주특별자치도 제주시 연동 680-27,33.4518723,126.4882661
동문시장,제주특별자치도 제주시 이도일동 1348-1,33.51191397,126.525018
돌문화공원,제주특별자치도 제주시 조천읍 교래리 산 101,33.44865491,126.661619
도두동무지개해안도로,제주특별자치도 제주시 도두이동 1657,33.50894703,126.475618
더마파크,제주특별자치도 제주시 한림읍 월림리 2365,33.35440904,126.242937
다희연,제주특별자치도 제주시 조천읍 선흘리 600-6,33.48701393,126.7071114
누웨마루거리,제주특별자치도 제주시 연동 272,33.48916003,126.490821
너븐숭이4.3기념관과북촌43길,제주특별자치도 제주시 조천읍 북촌리 1599,33.54593997,126.688866
남태해안로,제주특별자치도 서귀포시 남원읍 남원리 91-10,33.27812199,126.718671
남원큰엉해안경승지,제주특별자치도 서귀포시 남원읍 남원리 2384-1,33.27352309,126.7033626
남원문화의거리,제주특별자치도 서귀포시 남원읍 남원리 128-16,33.27699596,126.718313
낚고락고,제주특별자치도 제주시 조천읍 신흥리 711-1,33.55102703,126.646813
낙천의자공원,제주특별자치도 제주시 한경면 낙천리 1911-1,33.32779901,126.22581
김영갑갤러리두모악,제주특별자치도 서귀포시 성산읍 삼달리 487-1,33.37174198,126.854903
김만덕기념관과금산생태공원,제주특별자치도 제주시 건입동 1171-2,33.51598598,126.530255
김녕고장난길,제주특별자치도 제주시 구좌읍 김녕리 1270-7,33.55854602,126.754265
금성비단교산책길,제주특별자치도 제주시 애월읍 금성리 569-5,33.44690703,126.299067
금릉석물원,제주특별자치도 제주시 한림읍 금능리 1282-4,33.38558896,126.226657
그리스박물관,제주특별자치도 제주시 한림읍 금악리 산 30-12,33.34873298,126.357187
구엄돌염전,제주특별자치도 제주시 애월읍 구엄리 607-5,33.48399603,126.377102
고성신앙해녀의길,,33.43425698,126.926415
걸매예술마을,제주특별자치도 서귀포시 서귀동 332-116,33.24813497,126.555909
걸매생태공원,제주특별자치도 서귀포시 서홍동 477-1,33.25029499,126.555104
건강과성박물관,제주특별자치도 서귀포시 안덕면 감산리 1404,33.25488701,126.346203
감수굴밭담길,제주특별자치도 제주시 구좌읍 평대리 1994-19,33.533174,126.842109
감귤박물관,제주특별자치도 서귀포시 신효동 1200-6,33.27088497,126.607739
가파도,제주특별자치도 서귀포시 대정읍 가파리 276,33.17443801,126.270584
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-1,33.35762601,126.463032
