name,lat,lon
Vanløse,55.6872974900022,12.4916642210772
Flintholm,55.685868526571,12.4995265479892
Lindevang,55.6834818344772,12.5128727823056
Fasanvej,55.6818054503586,12.5224142313175
Frederiksberg,55.6812025514164,12.5339932974764
Forum,55.6818207545443,12.5524304647436
Nørreport,55.6838427596616,12.5710441654323
Kongens Nytorv,55.6791847414513,12.5852280669258
Christianshavn,55.6720538574613,12.5913850169458
Islands Brygge,55.6634223733612,12.5852168933798
DR Byen,55.6558127650973,12.5889896753412
Sundby,55.6451989093425,12.5857281934014
Bella Center,55.6380513362361,12.5829283900128
Ørestad,55.629055017055,12.5793887510985
Vestamager,55.619391331899,12.5752974367238
Amagerbro,55.6633257183338,12.6029288812263
Lergravsparken,55.6621013038072,12.6164167418779
Øresund,55.6617006672074,12.6284531010633
Amager Strand,55.6565184848362,12.6315835628037
Femøren,55.645348302966,12.638323824339
Kastrup,55.6357466194442,12.6467322749865
Lufthavnen,55.6301373667228,12.6493895254302
